web-scraper-order;address_raw;datetime;rooms;area;luxurious;price;price_per_m2;lat;lon;bfs_number;bfs_name;pop;pop_dens;frg_pct;emp;tax_income;dist_supermarket
1662023752-871;Kreuzstrasse 64, 8008 Zürich, ZH;17.09.2022 11:44;3.5;125;0;6390;51.12;47.36457825;8.552704811;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;86.25387749
1662023758-933;Eggbühlstrasse 1, 8050 Zürich, ZH;17.09.2022 11:44;4.5;98;0;3299;33.66;47.41617584;8.54477787;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;404.1037511
1662023695-445;Eibenstrasse 6, 8045 Zürich, ZH;17.09.2022 11:44;4;72;0;2280;31.67;47.36368561;8.521366119;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;134.632927
1662023755-905;Butzenstrasse 2, 8038 Zürich, ZH;17.09.2022 11:44;1.5;30;0;1480;49.33;47.3415451;8.530033112;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;77.30744587
1662023795-1223;Eggbühlstrasse 24, 8050 Zürich, ZH;17.09.2022 11:44;4.5;111;0;3765;33.92;47.41639709;8.543224335;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;386.5196066
1662023701-482;Limmatquai 70, 8001 Zürich, ZH;17.09.2022 11:44;1;20;0;2150;107.5;47.37271881;8.542970657;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;450.3074494
1662023733-740;Affolternstrasse 103, 8050 Zürich, ZH;17.09.2022 11:44;1;22;0;1300;59.09;47.41026306;8.536553383;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;428.8356504
1662023793-1182;Zürcherstrasse 5, 8102 Oberengstringen, ZH;17.09.2022 11:44;2.5;57;0;1370;24.04;47.4050293;8.477233887;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;326.9483076
1662023767-994;Forchstr. 26, 8008 Zürich, ZH;17.09.2022 11:44;3.5;85;0;3415;40.18;47.36399078;8.556114197;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;81.96943931
1662023739-789;Langgrütstrasse 96, 8047 Zürich, ZH;17.09.2022 11:44;3.5;71;0;3190;44.93;47.37327576;8.495824814;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;377.4372246
1662023774-1053;Scheffelstrasse 11, 8037 Zürich, ZH;17.09.2022 11:44;3.5;76;0;4550;59.87;47.39439011;8.529122353;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;76.36840439
1662023695-456;8005 Zürich, ZH;17.09.2022 11:44;2.5;96;0;3688;38.42;47.38420486;8.531729698;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;9.417739806
1662023789-1167;Magdalenenstrasse 9, 8050 Zürich, ZH;17.09.2022 11:44;2.5;103;0;3120;30.29;47.40725327;8.551426888;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;178.4695226
1662023767-988;Kreuzstrasse 55, 8008 Zürich, ZH;17.09.2022 11:44;2.5;71;0;3090;43.52;47.3645401;8.552120209;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;130.5374186
1662023742-803;Emil Oprecht-Str. 1, 8050 Zürich, ZH;17.09.2022 11:44;4.5;99;0;2900;29.29;47.41197968;8.541033745;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;163.971253
1662023704-517;Schaffhauserstrasse 475, 8052 Zürich, ZH;17.09.2022 11:44;2;54;0;1904;35.26;47.42020035;8.548353195;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;75.56612649
1662023789-1162;Seefeldstr. 117, 8008 Zürich, ZH;17.09.2022 11:44;4;97;0;3665;37.78;47.35837936;8.554369926;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;22.40787818
1662023755-893;Röntgenstrasse 48, 8005 Zürich, ZH;17.09.2022 11:44;2.5;67;0;3300;49.25;47.38470459;8.527143478;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;9.476740039
1662023789-1170;Dennlerstr. 24, 8047 Zürich, ZH;17.09.2022 11:44;2;46;0;1450;31.52;47.38156128;8.497806549;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;252.3962319
1662023704-515;Jungholzstrasse 20, 8050 Zürich, ZH;17.09.2022 11:44;1.5;43;0;1740;40.47;47.41342545;8.544348717;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;247.469155
1662023698-466;Waffenplatzstrasse 80, 8002 Zürich, ZH;17.09.2022 11:44;4;87;0;2767;31.8;47.35564804;8.52674675;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;329.1384141
1662023720-643;Badenerstrasse 595, 8048 Zürich, ZH;17.09.2022 11:44;1;83;1;2800;33.73;47.38526535;8.493899345;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;123.174532
1662023764-983;Am Wasser 161, 8049 Zürich, ZH;17.09.2022 11:44;2.5;42;0;3000;71.43;47.39943695;8.495816231;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;407.4024613
1662023745-821;Ackerstrasse 55, 8005 Zürich, ZH;17.09.2022 11:44;1.5;25;0;1650;66;47.38333893;8.532877922;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;121.1360881
1662023795-1207;Imbisbühlstrasse 108, 8049 Zürich, ZH;17.09.2022 11:44;3.5;131;0;3358;25.63;47.40587616;8.487546921;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;465.384638
1662023692-409;8055 Zürich, ZH;17.09.2022 11:44;2.5;68;0;3125;45.96;47.3637886;8.509098053;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;357.7941956
1662023745-836;Neudorfstr. 17, 8050 Zürich, ZH;17.09.2022 11:44;3.5;110;0;2850;25.91;47.41176224;8.547621727;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;131.7436127
